City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Lompoc,US,64.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
118,Laem Sing,TH,84.15,light rain,12.4816,102.0738,Laemsing Whitehouse Resort
119,Huarmey,PE,71.31,scattered clouds,-10.0681,-78.1522,Hotel Miramar
121,Immokalee,US,88.99,broken clouds,26.4187,-81.4173,Seminole Casino Hotel Immokalee
122,Quatre Cocos,MU,75.31,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
123,Bengkulu,ID,78.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
124,Camargo,MX,86.58,clear sky,27.6667,-105.1667,Hotel Santa Fe
125,Jamestown,US,63.01,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
126,Valdivia,CL,66.29,overcast clouds,-39.8142,-73.2459,Hostal Entre Rios
130,Gat,IL,70.39,clear sky,31.61,34.7642,OlusHome
131,Lewistown,US,62.87,clear sky,40.5992,-77.5714,Quality Inn & Suites
132,Bekwai,GH,85.24,overcast clouds,6.4534,-1.5774,Annex Plaza Hotel
133,Wajir,KE,84.42,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
134,Necochea,AR,73.45,clear sky,-38.5473,-58.7368,dyd -mar Hotel
135,Comodoro Rivadavia,AR,64.26,few clouds,-45.8667,-67.5,Austral Hotel
136,Saint-Pierre,RE,73.9,clear sky,-21.3393,55.4781,Alize Plage
137,Gazli,UZ,85.01,overcast clouds,40.1333,63.45,
138,Meulaboh,ID,78.42,moderate rain,4.1363,96.1285,Kost Pria
139,Ponta Do Sol,PT,72.72,few clouds,32.6667,-17.1,Hotel do Campo
142,Bodden Town,KY,86.0,few clouds,19.2833,-81.25,Will T Place
146,Tucuman,AR,66.2,broken clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
147,Khandbari,NP,70.11,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
148,Lorengau,PG,83.23,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
149,Schwechat,AT,68.92,few clouds,48.1333,16.4667,HEINHOTEL vienna airport
150,Hithadhoo,MV,84.72,broken clouds,-0.6,73.0833,Scoop Guest House
151,Kendari,ID,75.97,overcast clouds,-3.945,122.4989,Hotel Wixel
153,Kieta,PG,78.64,light rain,-6.2167,155.6333,Uruna Bay Retreat
