City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Milos,GR,2022-05-08 00:03:57,36.75,24.4333,61.18,74,98,14.79
105,Port Elizabeth,ZA,2022-05-07 23:54:47,-33.918,25.5701,59.31,75,20,4.61
106,Isangel,VU,2022-05-08 00:03:57,-19.55,169.2667,78.69,57,5,17.9
107,Cobija,BO,2022-05-08 00:03:58,-11.0267,-68.7692,73.51,73,15,3.09
108,Kruisfontein,ZA,2022-05-07 23:55:35,-34.0033,24.7314,54.88,79,94,3.69
109,Cape Town,ZA,2022-05-08 00:01:32,-33.9258,18.4232,57.9,82,3,10.0
110,Tasiilaq,GL,2022-05-08 00:03:59,65.6145,-37.6368,26.76,74,99,5.59
111,Trelew,AR,2022-05-08 00:01:49,-43.249,-65.3051,70.77,35,54,7.07
112,Johnstown,US,2022-05-08 00:04:00,40.3267,-78.922,48.99,92,100,13.8
113,New Norfolk,AU,2022-05-07 23:55:01,-42.7826,147.0587,55.92,69,91,1.01
114,Gamba,GA,2022-05-08 00:04:01,-2.65,10.0,76.44,86,80,0.98
115,Constitucion,CL,2022-05-08 00:02:53,-35.3333,-72.4167,53.85,78,2,9.01
116,Aklavik,CA,2022-05-08 00:02:07,68.2191,-135.0107,36.12,77,88,7.83
117,Akyab,MM,2022-05-08 00:04:01,20.15,92.9,81.75,74,82,7.38
118,Arraial Do Cabo,BR,2022-05-07 23:59:09,-22.9661,-42.0278,71.91,81,69,9.89
119,Mahebourg,MU,2022-05-07 23:54:42,-20.4081,57.7,76.24,88,40,11.5
120,Banda Aceh,ID,2022-05-08 00:01:12,5.5577,95.3222,79.61,79,100,6.24
121,Tilichiki,RU,2022-05-07 23:59:06,60.4667,166.1,31.55,99,99,1.28
122,Velikiy Ustyug,RU,2022-05-08 00:04:03,60.7644,46.3106,48.45,74,72,9.35
123,Puerto Ayacucho,VE,2022-05-08 00:04:04,5.6639,-67.6236,75.76,88,72,2.75
124,Atuona,PF,2022-05-07 23:54:59,-9.8,-139.0333,78.75,76,29,16.84
125,Sidi Ali,DZ,2022-05-08 00:04:05,36.0998,0.4206,61.32,56,2,3.15
126,Tapes,BR,2022-05-07 23:59:44,-30.6733,-51.3958,60.55,82,0,5.66
127,Aksu,CN,2022-05-08 00:04:06,41.1231,80.2644,67.48,37,2,5.19
128,Muros,ES,2022-05-07 23:59:29,42.7762,-9.0603,57.83,82,85,5.14
