City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Vermillion,US,42.7794,-96.9292,61.81,80,93,5.32,overcast clouds
182,Longyearbyen,SJ,78.2186,15.6401,17.44,62,40,14.97,scattered clouds
183,Belmonte,BR,-15.8631,-38.8828,75.7,87,100,10.45,overcast clouds
184,Concordia,AR,-31.393,-58.0209,73.47,69,20,11.99,few clouds
185,Esperance,AU,-33.8667,121.9,61.43,43,8,11.74,clear sky
186,Haines Junction,CA,60.7522,-137.5108,44.55,61,45,4.61,scattered clouds
187,Torbay,CA,47.6666,-52.7314,50.88,57,15,4.0,few clouds
188,Nantucket,US,41.2835,-70.0995,51.94,58,75,27.63,broken clouds
189,Narsaq,GL,60.9167,-46.05,55.62,79,100,5.21,overcast clouds
190,Aki,JP,33.5,133.9,61.36,88,100,2.95,overcast clouds
191,Ilulissat,GL,69.2167,-51.1,30.22,64,0,4.61,clear sky
192,Soubre,CI,5.7856,-6.6083,77.38,92,95,4.32,light rain
193,Puerto Ayora,EC,-0.7393,-90.3518,80.56,79,9,12.37,clear sky
194,Port Elizabeth,ZA,-33.918,25.5701,62.89,75,75,8.05,broken clouds
195,Ulety,RU,51.3572,112.4849,54.93,46,81,7.96,broken clouds
196,Ancud,CL,-41.8697,-73.8203,54.36,75,32,4.14,scattered clouds
197,Bredy,RU,52.4153,60.3411,49.98,34,17,9.01,few clouds
198,Shelburne,CA,44.0787,-80.2041,59.13,38,0,9.95,clear sky
199,Kalga,RU,50.9251,118.898,51.98,22,14,8.59,few clouds
200,Tabou,CI,4.423,-7.3528,77.77,88,100,5.1,moderate rain
201,Batemans Bay,AU,-35.7167,150.1833,53.1,88,6,3.76,clear sky
202,Kavaratti,IN,10.5669,72.642,85.12,72,99,15.84,overcast clouds
203,Butaritari,KI,3.0707,172.7902,81.27,81,29,16.67,scattered clouds
204,El Silencio,VE,10.5,-66.9167,75.83,86,75,2.3,broken clouds
205,Kalmunai,LK,7.4167,81.8167,84.06,77,100,5.12,overcast clouds
206,Vallenar,CL,-28.5708,-70.7581,66.58,53,93,4.59,overcast clouds
207,Meiganga,CM,6.5167,14.3,79.81,50,100,3.33,overcast clouds
208,Kokopo,PG,-4.352,152.2633,77.45,83,97,3.62,overcast clouds
209,Fort Nelson,CA,58.8053,-122.7002,33.39,86,100,20.71,light snow
210,Sesheke,ZM,-17.4759,24.2968,72.37,30,21,4.27,few clouds
